Timestamp,What age range do you fall into?,What is your gender?,What is your field of study? (Optional),What is your current status at your institution?,What institution are you a part of?,Have you experimented with ChatGPT?,"If you have used ChatGPT, what have you used it for?",Do you think that using ChatGPT is a form of plagiarism ?,Do you think that the use of AI tools such as ChatGPT would inhibit education?,What would be the use of ChatGPT by students?,Do you think it is okay for AI such as ChatGPT to be trained on sources without the consent of the creators of that information?,What do you think of ChatGPT in the workplace?
2/23/2023 11:25:26,18-22,Prefer not to say,Prefer not to say,Undergrad,Toronto Metropolitan University,Yes,,No,No,To get a better understanding of certain subjects,,
2/23/2023 12:50:59,18-22,Prefer not to say,Prefer not to say,Undergrad,Toronto Metropolitan University,"No, and I am not planning to",,No,No,"To get help with assignments, same as searching with Google",,
2/23/2023 13:23:38,18-22,Prefer not to say,Prefer not to say,Undergrad,Toronto Metropolitan University,Yes,,No,Yes,To get a better understanding of certain subjects,,
2/23/2023 14:36:25,18-22,Prefer not to say,Prefer not to say,Undergrad,Toronto Metropolitan University,Yes,,Yes,Yes,"To get help with assignments, same as searching with Google",,
2/23/2023 14:39:08,18-22,Prefer not to say,Prefer not to say,Undergrad,Toronto Metropolitan University,Yes,,Yes,Yes,To get a better understanding of certain subjects,,
2/23/2023 20:52:16,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,,No,No,"To get help with assignments, same as searching with Google",Yes,It will be a powerful tool to speed up the work process
2/24/2023 19:02:37,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,,No,No,"To get help with assignments, same as searching with Google",Yes,It will be a powerful tool to speed up the work process
2/24/2023 23:31:13,18-22,Male,IT,Undergrad,York University,"No, and I am not planning to",,Yes,Yes,All of the above,Yes,It will be a powerful tool to speed up the work process
2/25/2023 10:36:14,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,,No,Yes,To get a better understanding of certain subjects,No,"It will never be as good as a person, as humans can make better decisions than a robot"
2/25/2023 17:32:08,18-22,Male,Computer Science,Undergrad,Seneca College,"No, but I am planning to",,No,Yes,All of the above,No,It needs much improvement before it should be considered as an assistant
2/25/2023 18:58:31,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,,Yes,No,"To cheat on assessments (Writing essays, cheating on tests, etc)",No,It will replace jobs
2/26/2023 1:15:42,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,"No, but I am planning to",,No,Yes,"To get help with assignments, same as searching with Google",Yes,It needs much improvement before it should be considered as an assistant
2/26/2023 12:56:10,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,,Yes,Yes,"To cheat on assessments (Writing essays, cheating on tests, etc)",Yes,"It will never be as good as a person, as humans can make better decisions than a robot"
2/27/2023 9:06:27,18-22,Male,Humanities,Undergrad,University of Toronto,"No, and I am not planning to",,Yes,Yes,"To cheat on assessments (Writing essays, cheating on tests, etc)",Yes,It needs much improvement before it should be considered as an assistant
2/27/2023 11:12:26,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,,Yes,No,"To get help with assignments, same as searching with Google",Yes,"It will never be as good as a person, as humans can make better decisions than a robot"
2/28/2023 17:17:02,18-22,Female,Computer Science,Undergrad,Toronto Metropolitan University,"No, but I am planning to","Help with assignments, Work related information",No,Yes,"To get help with assignments, same as searching with Google",Yes,"It will never be as good as a person, as humans can make better decisions than a robot"
3/2/2023 14:01:14,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,"Help with assignments, Media production",No,No,"To cheat on assessments (Writing essays, cheating on tests, etc)",Yes,"It will never be as good as a person, as humans can make better decisions than a robot"
3/2/2023 17:45:24,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,"Work related information, Entertainment purposes",Yes,No,To get a better understanding of certain subjects,No,"It will never be as good as a person, as humans can make better decisions than a robot"
3/4/2023 16:48:03,18-22,Female,Computer Science,Undergrad,Toronto Metropolitan University,Yes,"Help with assignments, Entertainment purposes",Yes,Yes,"To cheat on assessments (Writing essays, cheating on tests, etc)",Yes,It will replace jobs
3/7/2023 11:18:54,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,Help with assignments,Yes,No,To get a better understanding of certain subjects,Yes,It will be a powerful tool to speed up the work process
3/8/2023 12:11:51,50-60,Prefer not to say,Humanities,Undergrad,Laurentian University ,Yes,"Help with assignments, Work related information",No,No,To get a better understanding of certain subjects,Yes,"It will never be as good as a person, as humans can make better decisions than a robot"
3/8/2023 12:23:16,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,"Help with assignments, Work related information, Entertainment purposes, Media production",No,No,To get a better understanding of certain subjects,No,It needs much improvement before it should be considered as an assistant
3/8/2023 12:36:17,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,"No, and I am not planning to",,Yes,Yes,To get a better understanding of certain subjects,No,It will be a powerful tool to speed up the work process
3/8/2023 12:52:04,18-22,Male,Engineering,Undergrad,The Ohio State University,"No, but I am planning to",,No,Yes,"To get help with assignments, same as searching with Google",No,It will be a powerful tool to speed up the work process
3/8/2023 12:56:24,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,Help with assignments,Yes,Yes,To get a better understanding of certain subjects,Yes,It will be a powerful tool to speed up the work process
3/8/2023 12:59:11,18-22,Male,Engineering,Undergrad,Toronto Metropolitan University,"No, but I am planning to",,Yes,Yes,"To cheat on assessments (Writing essays, cheating on tests, etc)",No,It will be a powerful tool to speed up the work process
3/8/2023 13:01:37,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,Entertainment purposes,Yes,Yes,"To cheat on assessments (Writing essays, cheating on tests, etc)",No,It will replace jobs
3/8/2023 13:04:06,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,"Help with assignments, Entertainment purposes",Yes,No,"To get help with assignments, same as searching with Google",Yes,It needs much improvement before it should be considered as an assistant
3/8/2023 13:05:24,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,"Help with assignments, Work related information, Entertainment purposes",No,No,"To cheat on assessments (Writing essays, cheating on tests, etc)",Yes,It will be a powerful tool to speed up the work process
3/8/2023 13:05:28,18-22,Male,Business,Undergrad,Lakehead University ,Yes,Entertainment purposes,No,No,"To get help with assignments, same as searching with Google",Yes,It will be a powerful tool to speed up the work process
3/8/2023 13:34:51,18-22,Male,Computer Science,Undergrad,Harvard University,Yes,"Help with assignments, Work related information, Entertainment purposes, Media production",Yes,Yes,"To cheat on assessments (Writing essays, cheating on tests, etc)",Yes,It will replace jobs
3/8/2023 13:40:41,18-22,Male,Engineering,Undergrad,University of Texas Arlington ,Yes,"Help with assignments, Work related information",No,No,"To get help with assignments, same as searching with Google",No,It will be a powerful tool to speed up the work process
3/8/2023 19:45:50,18-22,Male,Health/Life Sciences,Undergrad,York University,Yes,"Help with assignments, Work related information, Entertainment purposes, Media production",No,No,To get a better understanding of certain subjects,Yes,It will be a powerful tool to speed up the work process
3/9/2023 23:29:49,18-22,Male,Business,Undergrad,Toronto Metropolitan University,Yes,Help with assignments,Yes,No,To get a better understanding of certain subjects,Yes,It will be a powerful tool to speed up the work process
3/11/2023 17:36:59,18-22,Male,Engineering,Undergrad,University of Waterloo,Yes,"Help with assignments, write coop cover letters for me",Yes,No,"To cheat on assessments (Writing essays, cheating on tests, etc)",Yes,It will be a powerful tool to speed up the work process
3/12/2023 23:56:02,18-22,Prefer not to say,Computer Science,Undergrad,Toronto Metropolitan University,"No, but I am planning to",,Yes,Yes,"To cheat on assessments (Writing essays, cheating on tests, etc)",No,It will replace jobs
3/13/2023 9:09:17,18-22,Male,Engineering,Undergrad,York University,Yes,"Help with assignments, Work related information, Entertainment purposes",Yes,No,"To cheat on assessments (Writing essays, cheating on tests, etc)",No,It will be a powerful tool to speed up the work process
3/13/2023 11:12:11,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,"Help with assignments, Work related information",No,No,To get a better understanding of certain subjects,Yes,It will be a powerful tool to speed up the work process
3/13/2023 14:41:14,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,"Help with assignments, Work related information",Yes,No,To get a better understanding of certain subjects,No,It will be a powerful tool to speed up the work process
3/13/2023 14:44:24,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,Entertainment purposes,No,No,To get a better understanding of certain subjects,No,It will be a powerful tool to speed up the work process
3/13/2023 15:22:15,18-22,Female,Health/Life Sciences,Undergrad,Universidad San Francisco de Quito,"No, but I am planning to",,Yes,Yes,"To get help with assignments, same as searching with Google",No,It needs much improvement before it should be considered as an assistant
3/13/2023 15:22:34,18-22,Male,Engineering,Undergrad,Universidad San Francisco de Quito,Yes,Help with assignments,No,No,"To get help with assignments, same as searching with Google",No,It will be a powerful tool to speed up the work process
3/13/2023 15:23:01,18-22,Female,Media,Undergrad,Hochschule RheinMain,Yes,Help with assignments,No,Yes,"To get help with assignments, same as searching with Google",Yes,It will be a powerful tool to speed up the work process
3/13/2023 15:26:39,18-22,Male,Health/Life Sciences,Undergrad,Brock University,Yes,"Help with assignments, Work related information, Entertainment purposes",No,Yes,To get a better understanding of certain subjects,No,It will be a powerful tool to speed up the work process
3/13/2023 15:28:55,18-22,Female,Business,Undergrad,Universidad San Francisco de Quito,Yes,Help with assignments,No,No,"To get help with assignments, same as searching with Google",No,It will be a powerful tool to speed up the work process
3/13/2023 15:29:40,18-22,Male,Computer Science,Undergrad,Toronto Metropolitan University,Yes,Entertainment purposes,Yes,Yes,"To get help with assignments, same as searching with Google",No,It will be a powerful tool to speed up the work process
3/13/2023 15:31:14,18-22,Male,Health/Life Sciences,Undergrad,Durham College,"No, but I am planning to",Entertainment purposes,No,No,"To get help with assignments, same as searching with Google",No,It needs much improvement before it should be considered as an assistant
3/13/2023 15:31:44,18-22,Female,Humanities,Undergrad,Tyndale University,Yes,Entertainment purposes,Yes,Yes,"To cheat on assessments (Writing essays, cheating on tests, etc)",No,"It will never be as good as a person, as humans can make better decisions than a robot"
3/13/2023 15:32:20,18-22,Female,Health/Life Sciences,Undergrad,Tyndale University,"No, and I am not planning to",,No,Yes,To get a better understanding of certain subjects,No,It will be a powerful tool to speed up the work process
3/13/2023 15:32:25,18-22,Male,Health/Life Sciences,Undergrad,Toronto Metropolitan University,Yes,Entertainment purposes,No,No,"To get help with assignments, same as searching with Google",Yes,It will be a powerful tool to speed up the work process
3/13/2023 15:32:31,18-22,Female,Health/Life Sciences,Undergrad,Emory University ,Yes,Entertainment purposes,Yes,No,To get a better understanding of certain subjects,No,It will be a powerful tool to speed up the work process
3/13/2023 15:32:34,18-22,Female,Humanities,Undergrad,Tyndale University,Yes,"Work related information, Entertainment purposes",No,No,"To get help with assignments, same as searching with Google",No,It needs much improvement before it should be considered as an assistant
